Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)	Source pressure (Pa)
0.617957981	-3.594917774	3.555752516	0
0.618015905	-3.594907284	3.555747032	0
0.618073736	-3.594922781	3.555755138	0
0.618131553	-3.594884157	3.555734873	0
0.618189516	-3.594821215	3.555701971	0
0.618247359	-3.594752312	3.55566597	0
0.618305246	-3.594674826	3.555625439	0
0.618363072	-3.594787836	3.555684567	0
0.618420912	-3.594722986	3.555650711	0
0.618478852	-3.594860315	3.555722475	0
0.618536719	-3.594885826	3.555735827	0
0.618594558	-3.594923735	3.555755615	0
0.618652468	-3.595024109	3.555808067	0
0.618710293	-3.595057488	3.555825472	0
0.618768227	-3.595144033	3.555870771	0
0.618826084	-3.595161438	3.555879831	0
0.618883929	-3.595237255	3.555919409	0
0.618941759	-3.59528327	3.555943489	0
0.618999669	-3.595293284	3.555948734	0
0.619057488	-3.595329762	3.555967808	0
0.61911545	-3.595384598	3.555996418	0
0.619173221	-3.595434189	3.556022406	0
0.619231173	-3.595466614	3.556039333	0
0.619289015	-3.595499516	3.5560565	0
0.619346913	-3.59551692	3.556065559	0
0.619404801	-3.595515966	3.556065083	0
0.619462576	-3.595582962	3.55610013	0
0.619520426	-3.595557928	3.556087017	0
0.619578383	-3.595507383	3.556060553	0
0.619636266	-3.594585657	3.555578947	0
0.619694151	-3.587233067	3.551738024	0
0.619751999	-3.553439856	3.534123898	0
0.619809905	-2.844500303	3.178973675	0
0.619867748	-0.066411369	2.021062613	0
0.619925602	3.70450902	0.912166059	0
0.619983438	8.102771759	0.076295175	0
0.620041366	12.74421024	-0.466953367	0
0.620099173	17.12568474	-0.782381177	0
0.620157031	21.28746605	-0.971521616	0
0.620214963	24.93235779	-1.080203176	0
0.620272831	28.01733208	-1.144158125	0
0.620330696	30.54434776	-1.182848573	0
0.620388525	32.7322998	-1.20882988	0
0.620446449	34.5330162	-1.226074696	0
0.620504241	36.0270462	-1.238054991	0
0.62056211	37.26926804	-1.246651173	0
0.620620005	38.40103531	-1.253544092	0
0.620677848	39.25071716	-1.258195043	0
0.620735715	40.02465439	-1.262077212	0
0.620793642	40.6821785	-1.265130997	0
0.620851508	41.08442688	-1.266895533	0
0.620909397	41.55131531	-1.268850207	0
0.620967243	42.00109863	-1.270642757	0
0.621025151	42.36235809	-1.272021055	0
0.62108304	42.6849556	-1.273207426	0
0.621140892	42.7886734	-1.273580194	0
0.621198719	42.9597702	-1.274186134	0
0.621256645	43.24957657	-1.275187373	0
0.62131444	43.43295288	-1.275804997	0
0.621372273	43.49719238	-1.2760185	0
0.621430187	43.53296661	-1.276136756	0
0.6214881	43.60223389	-1.276364446	0
0.62154599	43.69199371	-1.276656985	0
0.62160383	43.81732178	-1.277060747	0
0.621661739	43.93903351	-1.277447701	0
0.621719557	44.04055023	-1.277766585	0
0.621777456	44.11806488	-1.278007746	0
0.621835344	44.18773651	-1.278222799	0
0.62189312	44.24349213	-1.278393745	0
0.621951072	44.2873497	-1.278527498	0
0.62200891	44.31741333	-1.278618813	0
0.622066747	44.34879684	-1.278713822	0
0.622124664	44.38566971	-1.278825045	0
0.622182463	44.41803741	-1.278922319	0
0.622240448	44.44984436	-1.279017568	0
0.622298274	44.48723984	-1.279129148	0
0.622356121	44.52189255	-1.279232144	0
0.622413992	44.56704712	-1.279365778	0
0.622471831	44.60171509	-1.27946794	0
0.622529713	44.63444138	-1.279564023	0
0.622587566	44.67205811	-1.279674053	0
0.622645519	44.70957947	-1.279783368	0
0.622703319	44.74708939	-1.279892206	0
0.622761172	44.75944901	-1.279927969	0
0.622819033	44.79633331	-1.280034423	0
0.622877018	44.8274231	-1.28012383	0
0.622934802	44.84438324	-1.280172467	0
0.622992661	44.87425613	-1.28025794	0
0.623050556	44.8839035	-1.280285478	0
0.623108391	44.90410233	-1.280343056	0
0.62316636	44.91646194	-1.280378223	0
0.623224157	44.93219757	-1.280422926	0
0.623282092	44.94715881	-1.280465365	0
0.62333997	44.96269226	-1.280509353	0
0.623397851	44.98226166	-1.280564666	0
0.623455664	44.97951889	-1.280556917	0
0.623513558	44.98889542	-1.280583382	0
0.623571444	45.01059341	-1.280644536	0
0.623629231	45.01334763	-1.280652285	0
0.623687111	45.01419449	-1.280654669	0
0.623744974	45.01712036	-1.280662894	0
0.623802908	45.02377319	-1.28068161	0
0.623860763	45.0377388	-1.28072083	0
0.623918613	45.03654861	-1.280717492	0
0.623976486	45.04326248	-1.280736327	0
0.624034335	45.04933929	-1.280753374	0
0.624092228	45.05495453	-1.28076911	0
0.624150098	45.06402206	-1.280794501	0
